2/25/1990
ACM,Academic,Computer Science
James Nelson,12960,Freshman,Oxford MS
John Hernandez,16972,Junior,Memphis TN
Sarah Lopez,19472,Senior,Dallas TX
William Green,14681,Freshman,Starkville MS
Robert Hill,16892,Sophomore,Gulfport MS
Donna Perez,16480,Junior,Gainesville FL
Charles Roberts,14446,Senior,Baltimore MD
Paul Campbell,11208,Freshman,Macon GA
8/17/1970
PKT,Greek fraternity,Social
Richard Smith,19518,Sophomore,Atlanta GA
Steven White,18840,Freshman,Nashville TN
Ronald Hall,10020,Sophomore,Oxford MS
Jeff Clark,19056,Junior,Charlotte NC
Mark Allen,11317,Freshman,Columbia SC
Kevin Young,12330,Senior,Sikeston MO
8/20/2000
KKG,Greek sorority,Social
Mary Moore,16565,Sophomore,Huntsville AL
Patricia Carter,19704,Freshman,Tunica MS
Linda Collins,12090,Sophomore,Senatobia MS
Elizabeth Harris,15161,Junior,Madison MS
Jennifer Jones,17977,Senior,Greenville MS
10/4/1970
ESB,Academic,Engineering
Anthony Miller,14576,Sophomore,Oxford MS
Jason Phillips,11809,Freshman,Asheville NC
Carol Turner,17524,Senior,Sarasota FL
George Martin,16402,Junior,Covington GA
Kenneth Thompson,10921,Sophomore,Madison TN
Chris Anderson,11103,Sophomore,Nashville TN
9/12/1988
SWE,Academic,Social
Nancy Scott,10203,Senior,Mobile AL
Karen Adams,19678,Freshman,Tupelo MS
Helen Baker,18627,Sophomore,Baton Rouge LA
Susan Gonzalez,16613,Junior,Memphis TN
